event_id,user_id,event_type,timestamp,hour_of_day,day_of_week,is_weekend,is_anomalous,anomaly_type,ip_address,country,device,login_success,failed_attempts,timezone_gap_hours,instrument,lot_size,trade_volume,pnl,margin_used,trade_duration_seconds,trade_volume_vs_baseline,is_night_trade,amount,method,is_immediate_withdrawal,session_duration_mins,page_clicks,click_rate_per_min,kyc_change_type,account_age_days
EVT_895128,USER_0002,trade,2024-01-01 00:12:54,0,0,0,1,wash_trader,,,,,,,GBPUSD,0.03,3850.75,80.71,2643.26,2458.0,0.971,0.0,,,,,,,,136
EVT_592292,USER_0163,trade,2024-01-01 01:40:53,1,0,0,0,none,,,,,,,EURUSD,1.09,11463.63,155.43,4603.29,3245.0,0.994,1.0,,,,,,,,257
EVT_763416,USER_0029,deposit,2024-01-01 03:15:43,3,0,0,1,ip_hopper,,,,,,,,,,,,,,,1261.91,crypto,0.0,,,,,54
EVT_911329,USER_0125,login,2024-01-01 03:40:42,3,0,0,0,none,10.147.224.1,UK,ios_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,120
EVT_465584,USER_0125,login,2024-01-01 04:51:36,4,0,0,0,none,10.147.224.1,UK,ios_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,120
EVT_179802,USER_0101,trade,2024-01-01 05:14:37,5,0,0,0,none,,,,,,,USDCHF,1.95,3879.37,-38.95,4354.79,3222.0,0.953,0.0,,,,,,,,177
EVT_326957,USER_0043,withdrawal,2024-01-01 06:13:24,6,0,0,0,none,,,,,,,,,,,,,,,1052.35,bank,0.0,,,,,195
EVT_282798,USER_0112,login,2024-01-01 06:15:49,6,0,0,0,none,10.149.16.1,CN,safari_mac,1.0,0.0,0.0,,,,,,,,,,,,,,,,92
EVT_909047,USER_0086,login,2024-01-01 06:22:42,6,0,0,0,none,10.238.131.1,SG,android_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,129
EVT_580747,USER_0005,trade,2024-01-01 06:28:32,6,0,0,1,dormant_withdrawer,,,,,,,XAUUSD,1.17,1639.83,-204.7,4484.08,939.0,1.179,0.0,,,,,,,,150
EVT_800144,USER_0146,trade,2024-01-01 07:03:11,7,0,0,0,none,,,,,,,AUDUSD,1.71,21391.98,-155.66,2503.99,827.0,1.286,0.0,,,,,,,,323
EVT_832229,USER_0025,trade,2024-01-01 07:11:16,7,0,0,1,bot_trader,,,,,,,EURUSD,0.21,20879.18,-31.88,1777.74,1994.0,1.075,0.0,,,,,,,,339
EVT_627685,USER_0187,login,2024-01-01 07:14:22,7,0,0,0,none,10.110.192.1,DE,ios_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,221
EVT_450281,USER_0073,deposit,2024-01-01 07:46:35,7,0,0,0,none,,,,,,,,,,,,,,,1662.18,bank,0.0,,,,,88
EVT_365406,USER_0051,deposit,2024-01-01 08:13:56,8,0,0,0,none,,,,,,,,,,,,,,,1675.01,card,0.0,,,,,21
EVT_677187,USER_0147,trade,2024-01-01 09:24:54,9,0,0,0,none,,,,,,,USDCHF,0.58,4461.18,-131.2,4194.3,3483.0,1.307,0.0,,,,,,,,356
EVT_805383,USER_0121,session,2024-01-01 09:58:16,9,0,0,0,none,,,ios_app,,,,,,,,,,,,,,,23.8,37.0,1.55,,49
EVT_672675,USER_0039,kyc_change,2024-01-01 10:00:23,10,0,0,0,none,,,,,,,,,,,,,,,,,,,,,email_update,242
EVT_421140,USER_0003,trade,2024-01-01 10:51:39,10,0,0,1,structurer,,,,,,,USDJPY,0.18,2761.62,336.59,4162.99,1630.0,1.313,0.0,,,,,,,,281
EVT_791634,USER_0074,session,2024-01-01 11:02:31,11,0,0,0,none,,,android_app,,,,,,,,,,,,,,,10.9,74.0,6.79,,311
EVT_155040,USER_0137,session,2024-01-01 11:30:51,11,0,0,0,none,,,chrome_win,,,,,,,,,,,,,,,52.1,36.0,0.69,,31
EVT_868905,USER_0189,trade,2024-01-01 11:35:05,11,0,0,0,none,,,,,,,XAUUSD,0.23,16116.9,60.87,2581.86,363.0,0.978,0.0,,,,,,,,176
EVT_877725,USER_0139,login,2024-01-01 11:41:05,11,0,0,0,none,10.116.46.1,AE,ios_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,119
EVT_803647,USER_0143,trade,2024-01-01 12:44:17,12,0,0,0,none,,,,,,,GBPUSD,1.84,10751.2,101.89,2712.68,414.0,1.092,0.0,,,,,,,,186
EVT_603871,USER_0053,trade,2024-01-01 12:58:42,12,0,0,0,none,,,,,,,GBPUSD,2.0,8887.8,104.59,3413.55,1266.0,1.01,0.0,,,,,,,,323
EVT_296790,USER_0017,trade,2024-01-01 13:03:16,13,0,0,1,structurer,,,,,,,EURUSD,1.87,21019.9,-226.28,3422.8,1527.0,1.086,0.0,,,,,,,,25
EVT_113950,USER_0004,trade,2024-01-01 13:37:28,13,0,0,1,bot_trader,,,,,,,USDJPY,0.83,14437.12,83.96,1586.59,2827.0,1.162,0.0,,,,,,,,36
EVT_444511,USER_0091,deposit,2024-01-01 13:43:38,13,0,0,0,none,,,,,,,,,,,,,,,2469.46,bank,0.0,,,,,126
EVT_449472,USER_0196,login,2024-01-01 14:17:12,14,0,0,0,none,10.160.219.1,US,firefox_linux,1.0,0.0,0.0,,,,,,,,,,,,,,,,203
EVT_811289,USER_0157,trade,2024-01-01 15:08:05,15,0,0,0,none,,,,,,,BTCUSD,1.97,12765.98,-315.39,1534.35,677.0,0.756,0.0,,,,,,,,114
EVT_236079,USER_0122,trade,2024-01-01 15:40:26,15,0,0,0,none,,,,,,,USDJPY,1.26,1159.73,187.6,257.39,532.0,0.896,0.0,,,,,,,,320
EVT_841935,USER_0038,trade,2024-01-01 16:12:37,16,0,0,0,none,,,,,,,BTCUSD,0.22,14278.63,143.82,569.2,3325.0,0.912,0.0,,,,,,,,270
EVT_816734,USER_0135,deposit,2024-01-01 16:16:18,16,0,0,0,none,,,,,,,,,,,,,,,2345.0,bank,0.0,,,,,12
EVT_567383,USER_0051,kyc_change,2024-01-01 17:20:38,17,0,0,0,none,,,,,,,,,,,,,,,,,,,,,address_update,22
EVT_758639,USER_0057,login,2024-01-01 17:42:52,17,0,0,0,none,10.204.169.1,NG,chrome_win,1.0,0.0,0.0,,,,,,,,,,,,,,,,296
EVT_512064,USER_0099,session,2024-01-01 18:19:45,18,0,0,0,none,,,firefox_linux,,,,,,,,,,,,,,,29.2,53.0,1.82,,189
EVT_763626,USER_0083,trade,2024-01-01 18:45:27,18,0,0,0,none,,,,,,,USDCHF,0.36,7038.98,-43.58,771.63,673.0,0.992,0.0,,,,,,,,156
EVT_635218,USER_0149,deposit,2024-01-01 18:55:09,18,0,0,0,none,,,,,,,,,,,,,,,424.37,bank,0.0,,,,,118
EVT_258003,USER_0186,trade,2024-01-01 19:07:00,19,0,0,0,none,,,,,,,USDCHF,1.25,2816.06,58.99,820.12,2931.0,1.008,0.0,,,,,,,,76
EVT_320989,USER_0176,login,2024-01-01 19:37:00,19,0,0,0,none,10.50.58.1,RU,firefox_linux,1.0,0.0,0.0,,,,,,,,,,,,,,,,190
EVT_272088,USER_0144,deposit,2024-01-01 19:44:51,19,0,0,0,none,,,,,,,,,,,,,,,2114.72,bank,0.0,,,,,153
