event_id,user_id,event_type,timestamp,hour_of_day,day_of_week,is_weekend,is_anomalous,anomaly_type,ip_address,country,device,login_success,failed_attempts,timezone_gap_hours,instrument,lot_size,trade_volume,pnl,margin_used,trade_duration_seconds,trade_volume_vs_baseline,is_night_trade,amount,method,is_immediate_withdrawal,session_duration_mins,page_clicks,click_rate_per_min,kyc_change_type,account_age_days,time_since_last_event_sec,time_since_last_login_sec,time_since_last_deposit_sec,roll_5_trade_vol_mean,roll_5_trade_vol_std,roll_5_pnl_mean,roll_5_margin_mean,roll_10_trade_vol_mean,roll_10_trade_vol_std,roll_10_pnl_mean,roll_10_margin_mean,roll_5_click_rate_mean,roll_5_session_dur_mean,roll_10_click_rate_mean,roll_10_session_dur_mean,burst_count_5min,burst_count_30min,unique_ips_last_10_logins,unique_countries_last_10_logins,unique_devices_last_10_logins,rolling_failed_attempts_5,rolling_timezone_gap_5,roll_5_deposit_sum,withdrawal_to_deposit_ratio,rolling_immediate_withdrawal_5,deposit_amount_rolling_std,deposit_count_last_10,deposit_amount_rolling_mean,withdrawal_amount_vs_account_age,is_large_withdrawal,trade_vol_zscore,pnl_zscore,amount_zscore,session_duration_zscore,click_rate_zscore,trade_vol_vs_baseline_zscore
EVT_324134,USER_0000,login,2024-01-06 05:46:09,5,5,1,1,brute_forcer,10.12.140.1,US,safari_mac,1.0,0.0,0.0,,,,,,,,,,,,,,,,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
EVT_605608,USER_0000,session,2024-01-06 20:13:04,20,5,1,1,brute_forcer,,,safari_mac,,,,,,,,,,,,,,,35.5,45.0,1.27,,84,52015.0,52015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,35.5,1.27,35.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.7071067811865479,0.7071067811865475,0.0
EVT_682753,USER_0000,trade,2024-01-08 06:27:39,6,0,0,1,brute_forcer,,,,,,,GBPUSD,1.42,7454.45,-83.06,4072.58,3412.0,0.918,1.0,,,,,,,,86,123275.0,175290.0,0.0,7454.45,0.0,-83.06,4072.58,7454.45,0.0,-83.06,4072.58,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.791200513635414,0.004335022024525922,0.0,0.0,0.0,-0.7934954999754322
EVT_226913,USER_0000,deposit,2024-01-15 20:34:02,20,0,0,1,brute_forcer,,,,,,,,,,,,,,,3131.89,crypto,0.0,,,,,93,655583.0,830873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,3131.89,0.0,0.0,0.0,1.0,3131.89,0.0,0,0.0,0.0,0.7434078456061608,0.0,0.0,0.0
EVT_763984,USER_0000,login,2024-01-17 07:46:39,7,2,0,1,brute_forcer,192.58.99.232,DE,android_app,0.0,1.0,6.0,,,,,,,,,,,,,,,,95,126757.0,957630.0,126757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
EVT_862712,USER_0000,login,2024-01-17 07:47:09,7,2,0,1,brute_forcer,192.75.120.27,NG,safari_mac,0.0,2.0,6.0,,,,,,,,,,,,,,,,95,30.0,30.0,126787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,3.0,3.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
EVT_306854,USER_0000,login,2024-01-17 07:47:39,7,2,0,1,brute_forcer,192.88.78.195,AE,chrome_win,0.0,3.0,9.0,,,,,,,,,,,,,,,,95,30.0,30.0,126817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,4.0,4.0,3.0,6.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
EVT_910389,USER_0000,login,2024-01-17 07:48:09,7,2,0,1,brute_forcer,192.252.237.194,UK,firefox_linux,0.0,4.0,5.0,,,,,,,,,,,,,,,,95,30.0,30.0,126847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,5.0,5.0,4.0,10.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
EVT_570711,USER_0000,login,2024-01-17 07:48:39,7,2,0,1,brute_forcer,192.165.161.39,BR,ios_app,1.0,4.0,2.0,,,,,,,,,,,,,,,,95,30.0,30.0,126877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,6.0,6.0,5.0,14.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
EVT_239145,USER_0000,trade,2024-01-21 17:18:26,17,6,1,1,brute_forcer,,,,,,,GBPUSD,0.18,8369.95,-306.26,1818.07,177.0,1.031,0.0,,,,,,,,99,379787.0,379787.0,506664.0,7912.200000000001,647.3562581762845,-194.66,2945.325,7912.200000000001,647.3562581762845,-194.66,2945.325,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.001908775678999313,-1.5437880433741713,0.0,0.0,0.0,0.0
